Indexador,Ativo,Dias_Out_Of_Sample,Dias_Violacao_VaR_Esperados,Dias_Violacao_VaR_Reais,P_Valor_POF,POF_Valido,P_Valor_CC,CC_Valido,P_Valor_Joint,Joint_Valido,Modelo_Valido,POF_Valido_Num,Joint_90,Joint_95,Joint_99
CDI_Spread,COGN27,132,1.3200,8,0.0001,NÃO,0.3075,SIM,0.0002,NÃO,NÃO,0,0,0,0
CDI_Spread,COMR12,237,2.3700,7,0.0144,NÃO,0.5130,SIM,0.0403,NÃO,NÃO,0,0,0,1
CDI_Spread,CPFPA3,70,0.7000,28,0.0000,NÃO,0.6006,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CPLD14,117,1.1700,1,0.8713,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Spread,CPLD16,467,4.6700,13,0.0015,NÃO,0.3877,SIM,0.0044,NÃO,NÃO,0,0,0,0
CDI_Spread,CRED13,13,0.1300,1,0.1213,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Spread,CSAN24,568,5.6800,55,0.0000,NÃO,0.0000,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CSBR11,83,0.8300,4,0.0116,NÃO,0.5217,SIM,0.0338,NÃO,NÃO,0,0,0,1
CDI_Spread,CSMGA5,382,3.8200,41,0.0000,NÃO,0.0016,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CSMGB6,376,3.7600,40,0.0000,NÃO,0.0000,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CSNAA1,827,8.2700,73,0.0000,NÃO,0.0000,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CTEE19,365,3.6500,11,0.0018,NÃO,0.4076,SIM,0.0055,NÃO,NÃO,0,0,0,0
CDI_Spread,CTNS15,131,1.3100,6,0.0026,NÃO,0.4460,SIM,0.0081,NÃO,NÃO,0,0,0,0
CDI_Spread,CTNS25,266,2.6600,13,0.0000,NÃO,0.0015,NÃO,0.0000,NÃO,NÃO,0,0,0,0
